Rk,Player,ISO,HardH%,WPA,rOBA
1,Aaron Judge,0.379,61.4,6.1,0.484
2,Shohei Ohtani,0.336,60.3,7.1,0.449
3,Juan Soto,0.281,57,5.9,0.424
4,Anthony Santander,0.271,41.7,2,0.346
5,Brent Rooker,0.269,49.9,3.7,0.399
6,Ketel Marte,0.268,53.9,3.3,0.396
7,Yordan Alvarez,0.259,49.7,3.9,0.406
8,Jose Ramírez,0.258,39.8,3.4,0.376
9,Bobby Witt Jr.,0.256,48.3,4.7,0.416
10,Gunnar Henderson,0.248,54,3,0.385
11,Marcell Ozuna,0.244,53.7,3.5,0.394
12,Rafael Devers,0.244,52.9,1.3,0.368
13,Bryce Harper,0.24,48.4,-0.1,0.381
14,Kyle Schwarber,0.237,55.5,2.6,0.367
15,Corey Seager,0.234,50.9,4,0.363
16,Teoscar Hernández,0.229,46.9,2.4,0.368
17,Francisco Lindor,0.227,47.5,4,0.373
18,Shea Langeliers,0.226,44,-1.2,0.321
19,Vladimir Guerrero Jr.,0.221,55,2.8,0.399
20,Pete Alonso,0.219,46.5,0.5,0.341
21,Christian Walker,0.217,48.2,0.1,0.34
22,Riley Greene,0.217,47.1,2,0.358
23,Cal Raleigh,0.216,48.3,1.2,0.324
24,Matt Chapman,0.216,48.7,0.7,0.351
25,Eugenio Suárez,0.214,42.5,-0.3,0.34
26,Josh Naylor,0.213,40.9,0.4,0.336
27,Elly De La Cruz,0.212,45.9,-0.3,0.367
28,Willy Adames,0.211,40.7,1.1,0.348
29,Matt Olson,0.21,47.7,1,0.342
30,Jake Burger,0.209,46.9,-0.1,0.327
31,Jackson Merrill,0.208,43.9,2,0.357
32,Jarren Duran,0.207,44,2.4,0.373
33,Rhys Hoskins,0.205,42.3,0.8,0.314
34,Colton Cowser,0.204,46.1,-2.5,0.329
35,Mookie Betts,0.202,39.5,2.3,0.377
36,Jorge Soler,0.201,44.1,-0.4,0.343
37,Ezequiel Tovar,0.2,40,0.7,0.325
38,Heliot Ramos,0.2,47.8,1.4,0.349
39,Seiya Suzuki,0.199,49.3,1.6,0.364
40,Ian Happ,0.199,45.3,1.7,0.345
41,Manny Machado,0.197,49,0.3,0.344
42,Corbin Carroll,0.197,40.9,3.2,0.333
43,JJ Bleday,0.194,36.2,-0.9,0.333
44,Daulton Varsho,0.194,34,1.6,0.306
45,Freddie Freeman,0.194,41.8,1.5,0.37
46,Zach Neto,0.194,39,1.2,0.334
47,Alex Bregman,0.193,40.7,-0.9,0.334
48,Michael Busch,0.192,40.2,1.5,0.338
49,Oneil Cruz,0.19,55.2,0.5,0.34
50,Jackson Chourio,0.189,45,2.4,0.344
51,CJ Abrams,0.187,40.9,1.1,0.324
52,Brenton Doyle,0.186,41.6,0.2,0.338
53,Tyler Stephenson,0.186,44,0.1,0.345
54,William Contreras,0.185,49.6,0.7,0.361
55,Will Smith,0.185,42.2,1.4,0.327
56,Salvador Perez,0.185,45,0.9,0.339
57,Vinnie Pasquantino,0.183,46.5,1.2,0.328
58,Carlos Santana,0.182,40,0.4,0.329
59,Jazz Chisholm Jr.,0.18,41.2,0.1,0.339
60,Taylor Ward,0.179,42.4,-0.4,0.329
61,Jurickson Profar,0.179,44.4,4.8,0.369
62,Andrew McCutchen,0.179,36.7,-0.7,0.332
63,Spencer Steer,0.178,40,1.9,0.331
64,Nick Castellanos,0.177,38.2,-0.7,0.327
65,Adolis García,0.176,48.2,-1.6,0.302
66,Brandon Nimmo,0.175,47.5,3.5,0.331
67,Trea Turner,0.174,40.8,1.5,0.358
68,Bryan Reynolds,0.172,45.6,2.7,0.355
69,Randy Arozarena,0.169,43.6,-2.4,0.323
70,Paul Goldschmidt,0.169,49.8,-0.7,0.326
71,Alec Bohm,0.168,45.8,1.4,0.34
72,Andrew Benintendi,0.168,34.5,-0.2,0.299
73,Matt Vierling,0.166,41,-1.3,0.323
74,Jesus Sanchez,0.166,51.4,0.6,0.326
75,Logan O'Hoppe,0.165,46.3,-0.8,0.315
76,Lane Thomas,0.163,40.6,-0.6,0.315
77,Wyatt Langford,0.162,43.8,0.9,0.329
78,Luis García Jr.,0.162,41.8,1.6,0.336
79,Cody Bellinger,0.161,32.9,1.1,0.326
80,Joey Ortiz,0.159,38.7,-1,0.317
81,Andrew Vaughn,0.156,43.3,-2.1,0.305
82,Josh Bell,0.156,40.4,0.2,0.32
83,Lourdes Gurriel Jr.,0.156,40,0.1,0.329
,League Average,0.156,39,,0.316
84,Ryan McMahon,0.155,50.1,0.9,0.311
85,Isaac Paredes,0.155,27.1,0.7,0.331
86,Ryan Mountcastle,0.154,45.3,0.3,0.323
87,Marcus Semien,0.154,35.4,-1.4,0.31
88,Alec Burleson,0.152,41.8,1.4,0.325
89,Jesse Winker,0.151,37.4,2,0.344
90,Zack Gelof,0.151,37.3,-2.7,0.286
91,Bryan De La Cruz,0.151,41.4,-1.5,0.29
92,George Springer,0.15,37.5,-2.1,0.312
93,Christopher Morel,0.15,40.5,-3.1,0.282
94,Jake Cronenworth,0.149,37,1,0.319
95,Masyn Winn,0.148,32.8,-0.5,0.317
96,Dansby Swanson,0.148,42.7,0.3,0.313
97,Jose Altuve,0.145,31.4,1.9,0.348
