#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,158,704,58,122,144,10,18.90%,24.30%,0.379,0.367,0.322,0.458,0.701,0.476,0.484,218,-0.4,95,-9.9,11.2
2,Bobby Witt Jr.,KCR,161,709,32,125,109,31,8.00%,15.00%,0.256,0.354,0.332,0.389,0.588,0.41,0.413,168,4.5,59.3,17.5,10.4
3,Shohei Ohtani,LAD,159,731,54,134,130,59,11.10%,22.20%,0.336,0.336,0.31,0.39,0.646,0.431,0.448,181,9.8,80.7,-17.2,9.1
4,Juan Soto,NYY,157,713,41,128,109,7,18.10%,16.70%,0.281,0.298,0.288,0.419,0.569,0.421,0.463,180,-3.8,61.1,-6.1,8.1
5,Gunnar Henderson,BAL,159,719,37,118,92,21,10.80%,22.10%,0.248,0.32,0.281,0.364,0.529,0.381,0.379,155,4,49,4.7,8
6,Francisco Lindor,NYM,152,689,33,107,91,29,8.10%,18.40%,0.227,0.295,0.273,0.344,0.5,0.363,0.382,137,4,34.8,17.4,7.8
7,Jarren Duran,BOS,160,735,21,111,75,34,7.30%,21.80%,0.207,0.345,0.285,0.342,0.492,0.357,0.346,129,8.4,32.8,7.9,6.7
8,Jose Ramirez,CLE,158,682,39,114,118,41,7.90%,12.00%,0.258,0.265,0.279,0.335,0.537,0.364,0.332,141,6.3,38.5,1.3,6.5
9,Elly De La Cruz,CIN,160,696,25,105,76,67,9.90%,31.30%,0.212,0.359,0.259,0.339,0.471,0.349,0.331,118,7.5,22.3,16.7,6.4
10,Ketel Marte,ARI,136,583,36,93,95,7,11.10%,18.20%,0.268,0.299,0.292,0.372,0.56,0.391,0.395,151,0.9,36.6,4.8,6.3
11,Vladimir Guerrero Jr.,TOR,159,697,30,98,103,2,10.30%,13.80%,0.221,0.342,0.323,0.396,0.544,0.398,0.41,165,-5.6,46.3,-16.7,5.5
12,Matt Chapman,SFG,154,647,27,98,78,15,9.90%,24.40%,0.216,0.293,0.247,0.328,0.463,0.34,0.344,121,3.7,19.6,11.6,5.5
13,William Contreras,MIL,155,679,23,99,92,9,11.50%,20.50%,0.185,0.33,0.281,0.365,0.466,0.359,0.36,131,-2.6,22.4,7.6,5.4
14,Cal Raleigh,SEA,153,628,34,73,100,6,11.10%,28.00%,0.216,0.251,0.22,0.312,0.436,0.323,0.347,117,-2.6,9.7,21.8,5.4
15,Jackson Merrill,SDP,156,593,24,77,90,16,4.90%,17.00%,0.208,0.318,0.292,0.326,0.5,0.352,0.376,130,3.7,25,6.5,5.3
16,Yordan Alvarez,HOU,147,635,35,88,86,6,10.90%,15.00%,0.259,0.317,0.308,0.392,0.567,0.402,0.414,168,-2.9,46.4,-16.6,5.3
17,Bryce Harper,PHI,145,631,30,85,87,7,12.00%,21.90%,0.24,0.331,0.285,0.373,0.525,0.38,0.361,145,-0.5,33.5,-4.3,5.2
18,Brent Rooker,OAK,145,614,39,82,112,11,9.60%,28.80%,0.269,0.362,0.293,0.365,0.562,0.392,0.383,164,0.8,45.5,-16.6,5.1
19,Willy Adames,MIL,161,688,32,93,112,21,10.80%,25.10%,0.211,0.297,0.251,0.331,0.462,0.342,0.344,119,1.2,17.2,5.9,4.8
20,Marcell Ozuna,ATL,162,688,39,96,104,1,10.80%,24.70%,0.244,0.359,0.302,0.378,0.546,0.395,0.405,154,-4.6,39.8,-17.5,4.7
21,Corey Seager,TEX,123,533,30,68,74,1,9.90%,18.00%,0.234,0.291,0.278,0.353,0.512,0.365,0.394,140,-5.2,19.4,6.8,4.5
22,Mookie Betts,LAD,116,516,19,75,75,16,11.80%,11.00%,0.202,0.294,0.289,0.372,0.491,0.371,0.363,141,0.6,25.9,-0.6,4.4
23,Dansby Swanson,CHC,149,593,16,82,66,19,9.10%,24.30%,0.148,0.3,0.242,0.312,0.39,0.307,0.324,99,4.4,3.4,18.9,4.3
24,Jurickson Profar,SDP,158,668,24,94,85,10,11.40%,15.10%,0.179,0.302,0.28,0.38,0.459,0.365,0.364,139,-0.8,30.6,-11.1,4.3
25,Marcus Semien,TEX,159,718,23,101,74,8,8.90%,14.60%,0.154,0.25,0.237,0.308,0.391,0.306,0.319,99,1.5,0.7,15.7,4.2
26,Steven Kwan,CLE,122,540,14,83,44,12,9.80%,9.40%,0.133,0.304,0.292,0.368,0.425,0.349,0.334,131,0.2,19.2,2.8,4.1
27,Rafael Devers,BOS,138,601,28,87,83,3,11.10%,24.50%,0.244,0.323,0.272,0.354,0.516,0.364,0.366,134,-0.9,22.5,-2.6,4.1
28,Alex Bregman,HOU,145,634,26,79,75,3,6.90%,13.60%,0.193,0.264,0.26,0.315,0.453,0.331,0.323,118,-2.3,10.7,8.1,4.1
29,Freddie Freeman,LAD,147,638,22,81,89,9,12.20%,15.70%,0.194,0.306,0.282,0.378,0.476,0.365,0.37,137,-1.4,27,-9,4
